metric,calendar_qrt,sources,AAN_qrt,AAN,AAP_qrt,AAP,ABG_qrt,ABG,GM_qrt,GM
EPS,2001Q1,Actuals,2001Q1,,2001Q1,,2001Q1,0.19,,
EPS,2001Q1,E_high,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,E_low,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,E_mean,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,Estimize,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,W_high,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,W_low,2001Q1,,2001Q1,,2001Q1,,,
EPS,2001Q1,Wall_St.,2001Q1,,2001Q1,,2001Q1,0.0,,
EPS,2001Q2,Actuals,2001Q2,,2001Q2,0.19,2001Q2,0.28,,
EPS,2001Q2,E_high,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,E_low,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,E_mean,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,Estimize,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,W_high,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,W_low,2001Q2,,2001Q2,,2001Q2,,,
EPS,2001Q2,Wall_St.,2001Q2,,2001Q2,0.0,2001Q2,0.0,,
EPS,2001Q3,Actuals,2001Q3,,2001Q3,0.18,2001Q3,0.32,,
EPS,2001Q3,E_high,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,E_low,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,E_mean,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,Estimize,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,W_high,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,W_low,2001Q3,,2001Q3,,2001Q3,,,
EPS,2001Q3,Wall_St.,2001Q3,,2001Q3,0.0,2001Q3,0.0,,
EPS,2001Q4,Actuals,2001Q4,,2001Q4,0.01,2001Q4,0.31,,
EPS,2001Q4,E_high,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,E_low,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,E_mean,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,Estimize,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,W_high,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,W_low,2001Q4,,2001Q4,,2001Q4,,,
EPS,2001Q4,Wall_St.,2001Q4,,2001Q4,0.01,2001Q4,0.0,,
EPS,2002Q1,Actuals,2002Q1,,2002Q1,0.18,2002Q1,0.33,,
EPS,2002Q1,E_high,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,E_low,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,E_mean,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,Estimize,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,W_high,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,W_low,2002Q1,,2002Q1,,2002Q1,,,
EPS,2002Q1,Wall_St.,2002Q1,,2002Q1,0.18,2002Q1,0.32,,
EPS,2002Q2,Actuals,2002Q2,,2002Q2,0.26,2002Q2,0.4,,
EPS,2002Q2,E_high,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,E_low,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,E_mean,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,Estimize,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,W_high,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,W_low,2002Q2,,2002Q2,,2002Q2,,,
EPS,2002Q2,Wall_St.,2002Q2,,2002Q2,0.24,2002Q2,0.38,,
EPS,2002Q3,Actuals,2002Q3,,2002Q3,0.31,2002Q3,0.5,,
EPS,2002Q3,E_high,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,E_low,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,E_mean,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,Estimize,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,W_high,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,W_low,2002Q3,,2002Q3,,2002Q3,,,
EPS,2002Q3,Wall_St.,2002Q3,,2002Q3,0.29,2002Q3,0.49,,
EPS,2002Q4,Actuals,2002Q4,,2002Q4,0.14,2002Q4,0.18,,
EPS,2002Q4,E_high,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,E_low,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,E_mean,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,Estimize,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,W_high,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,W_low,2002Q4,,2002Q4,,2002Q4,,,
EPS,2002Q4,Wall_St.,2002Q4,,2002Q4,0.14,2002Q4,0.19,,
EPS,2003Q1,Actuals,2003Q1,,2003Q1,0.33,2003Q1,0.21,,
EPS,2003Q1,E_high,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,E_low,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,E_mean,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,Estimize,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,W_high,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,W_low,2003Q1,,2003Q1,,2003Q1,,,
EPS,2003Q1,Wall_St.,2003Q1,,2003Q1,0.25,2003Q1,0.22,,
EPS,2003Q2,Actuals,2003Q2,,2003Q2,0.4,2003Q2,0.44,,
EPS,2003Q2,E_high,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,E_low,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,E_mean,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,Estimize,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,W_high,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,W_low,2003Q2,,2003Q2,,2003Q2,,,
EPS,2003Q2,Wall_St.,2003Q2,,2003Q2,0.35,2003Q2,0.4,,
EPS,2003Q3,Actuals,2003Q3,,2003Q3,0.41,2003Q3,0.53,,
EPS,2003Q3,E_high,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,E_low,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,E_mean,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,Estimize,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,W_high,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,W_low,2003Q3,,2003Q3,,2003Q3,,,
EPS,2003Q3,Wall_St.,2003Q3,,2003Q3,0.41,2003Q3,0.52,,
EPS,2003Q4,Actuals,2003Q4,,2003Q4,0.3,2003Q4,0.34,,
EPS,2003Q4,E_high,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,E_low,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,E_mean,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,Estimize,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,W_high,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,W_low,2003Q4,,2003Q4,,2003Q4,,,
EPS,2003Q4,Wall_St.,2003Q4,,2003Q4,0.28,2003Q4,0.34,,
EPS,2004Q1,Actuals,2004Q1,,2004Q1,0.45,2004Q1,0.33,,
EPS,2004Q1,E_high,2004Q1,,2004Q1,,2004Q1,,,
EPS,2004Q1,E_low,2004Q1,,2004Q1,,2004Q1,,,
EPS,2004Q1,E_mean,2004Q1,,2004Q1,,2004Q1,,,
