tic,Qurter,Report,Sector,Time
AAN,FQ4 ‘18,2019-02-14 00:00:00,consumer-discretionary,BMO
AAP,FQ4 ‘18,2019-02-19 00:00:00,consumer-discretionary,BMO
ABG,FQ4 ‘18,2019-02-06 00:00:00,consumer-discretionary,BMO
AEO,FQ4 ‘18,2019-03-06 00:00:00,consumer-discretionary,BMO
ALSN,FQ4 ‘18,2019-02-25 00:00:00,consumer-discretionary,AMC
ALV,FQ4 ‘18,2019-01-29 00:00:00,consumer-discretionary,BMO
AMC,FQ4 ‘18,2019-02-28 00:00:00,consumer-discretionary,AMC
AMCX,FQ4 ‘18,2019-02-28 00:00:00,consumer-discretionary,BMO
AMZN,FQ4 ‘18,2019-01-31 00:00:00,consumer-discretionary,AMC
AN,FQ4 ‘18,2019-02-22 00:00:00,consumer-discretionary,BMO
ANF,FQ4 ‘18,2019-03-06 00:00:00,consumer-discretionary,BMO
AOBC,FQ3 ‘19,2019-02-28 00:00:00,consumer-discretionary,AMC
APEI,FQ4 ‘18,2019-03-12 00:00:00,consumer-discretionary,AMC
APRN,FQ4 ‘18,2019-01-30 00:00:00,consumer-discretionary,AMC
APTV,FQ4 ‘18,2019-01-31 00:00:00,consumer-discretionary,BMO
ARMK,FQ1 ‘19,2019-02-05 00:00:00,consumer-discretionary,BMO
ASCMA,FQ4 ‘18,2019-02-28 00:00:00,consumer-discretionary,BMO
ASNA,FQ2 ‘19,2019-03-04 00:00:00,consumer-discretionary,AMC
ATGE,FQ2 ‘19,2019-02-07 00:00:00,consumer-discretionary,AMC
AXL,FQ4 ‘18,2019-02-15 00:00:00,consumer-discretionary,BMO
AZO,FQ2 ‘19,2019-02-26 00:00:00,consumer-discretionary,BMO
BABA,FQ3 ‘19,2019-01-30 00:00:00,consumer-discretionary,BMO
BBBY,FQ3 ‘18,2019-01-09 00:00:00,consumer-discretionary,AMC
BBW,FQ4 ‘18,2019-03-05 00:00:00,consumer-discretionary,BMO
BBY,FQ4 ‘19,2019-02-27 00:00:00,consumer-discretionary,BMO
BC,FQ4 ‘18,2019-01-31 00:00:00,consumer-discretionary,BMO
BEL,FQ4 ‘18,2019-02-27 00:00:00,consumer-discretionary,AMC
BFAM,FQ4 ‘18,2019-02-12 00:00:00,consumer-discretionary,AMC
BGFV,FQ4 ‘18,2019-02-26 00:00:00,consumer-discretionary,AMC
BID,FQ4 ‘18,2019-02-28 00:00:00,consumer-discretionary,BMO
BIG,FQ4 ‘18,2019-03-08 00:00:00,consumer-discretionary,BMO
BJRI,FQ4 ‘18,2019-02-21 00:00:00,consumer-discretionary,AMC
BKE,FQ4 ‘18,2019-03-15 00:00:00,consumer-discretionary,AMC
